Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName,warning,ArchivationDate
abseil-cpp.spec,https://github.com/abseil/abseil-cpp/archive/%{version}/%{name}-%{version}.tar.gz,,,,,,abseil-cpp,,,,
abupdate.spec,abupdate,,0,,,,abupdate,,,Info: Source0 contains a VMware internal url address.,
acl.spec,http://download.savannah.gnu.org/releases/%{name}/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/acl/acl-2.3.1.tar.gz,200,2.3.2,http://download.savannah.gnu.org/releases/acl/acl-2.3.2.tar.gz,200,acl,31AEB39958D8AF5D08933DD3A89333A41025C3EB49FC461FA3C291CACA51DAD575EC13FAEB7DEBA9B3C2EBF7615BE7D45E2B78E50D4F83D8EC933C95931A7682,acl-2.3.2.tar.gz,,
aide.spec,https://github.com/aide/aide/releases/download/%{version}/%{name}-%{version}.tar.gz,,,,,,aide,,,,
alsa-lib.spec,https://www.alsa-project.org/files/pub/lib/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.8.tar.bz2,200,1.2.15.3,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.15.3.tar.bz2,200,alsa-lib,7FC0FA8A5AE02D3404D2C262C6A14FCBB8B08E25993EAC86B9E89B8419ED4D293B422DA77B3EB7A1930F26C316B638E5AA7BDBA78B0ADA9908B0362D132A0CC0,alsa-lib-1.2.15.3.tar.bz2,,
alsa-utils.spec,https://www.alsa-project.org/files/pub/utils/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.8.tar.bz2,200,1.2.15.2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.15.2.tar.bz2,200,alsa-utils,13CA15A63BCBF81A4643EF03E391200D7523335BC300E290756089C4CFECCB9773CF6B77F9FCF4B80E6AA2E8C5E33A2C86C9173F1FEB480AEDF5ECDA0F7C47CD,alsa-utils-1.2.15.2.tar.bz2,,
amdvlk.spec,https://github.com/GPUOpen-Drivers/AMDVLK/archive/refs/tags/%{name}-%{version}.tar.xz,,,,,,amdvlk,,,,
ansible-community-general.spec,https://github.com/ansible-collections/community.general/archive/refs/tags/%{name}-%{version}.tar.gz,,,,,,ansible-community-general,,,,
ansible-posix.spec,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{name}-%{version}.tar.gz,,,,,,ansible-posix,,,,
ansible.spec,http://releases.ansible.com/ansible/%{name}-%{version}.tar.gz,,,,,,ansible,,,,
ant-contrib.spec,https://packages.vmware.com/photon/photon_sources/1.0/%{name}-%{version}-src.tar.gz,https://packages.vmware.com/photon/photon_sources/1.0/ant-contrib-1.0b3-src.tar.gz,200,,,,ant-contrib,,,Info: Source0 contains a VMware internal url address.,
apache-ant.spec,http://apache.mirrors.lucidnetworks.net/ant/source/%{name}-%{version}-src.tar.gz,,,,,,apache-ant,,,,
apache-maven.spec,https://github.com/apache/maven/archive/refs/tags/maven-%{version}.tar.gz,,,,,,apache-maven,,,,
apache-tomcat-9.spec,https://archive.apache.org/dist/tomcat/tomcat-9/v%{version}/src/%{_origname}-%{version}-src.tar.gz,https://archive.apache.org/dist/tomcat/tomcat-9/v9.0.86/src/%{_origname}-9.0.86-src.tar.gz,200,(same version),,,apache-tomcat,,,,
apache-tomcat-native.spec,https://dlcdn.apache.org/tomcat/tomcat-connectors/native/%{version}/source/%{srcname}-%{version}-src.tar.gz,,,,,,apache-tomcat-native,,,,
apache-tomcat.spec,https://archive.apache.org/dist/tomcat/tomcat-10/v%{version}/src/%{name}-%{version}-src.tar.gz,,,,,,apache-tomcat,,,,
apparmor.spec,https://launchpad.net/%{name}/3.1/%{version}/+download/%{name}-%{version}.tar.gz,https://launchpad.net/apparmor/3.1/3.1.2/+download/apparmor-3.1.2.tar.gz,200,4.1.0,https://launchpad.net/apparmor/4.1/4.1.0/+download/apparmor-4.1.0.tar.gz,200,apparmor,38E6C0BA35CD48040CDFCA0AEA6C6BC6C132BFE237D11C3E9C89CFEF69ED68A691F80075989263969368BDE1120C8A6FAD601098E8592208290F12E4210D9773,apparmor-4.1.0.tar.gz,,
apr-util.spec,http://archive.apache.org/dist/apr/%{name}-%{version}.tar.gz,,,,,,apr-util,,,,
apr.spec,http://archive.apache.org/dist/%{name}/%{name}-%{version}.tar.gz,,,,,,apr,,,,
argon2.spec,https://github.com/P-H-C/phc-winner-argon2/archive/refs/tags/%{name}-%{version}.tar.gz,,,,,,argon2,,,,
asciidoc3.spec,https://asciidoc3.org/%{name}-%{version}.tar.gz,,,,,,asciidoc3,,,,
