# Photon OS ISO permutation matrix - the executable form of ISO-PERMUTATION-MATRIX.md
#
# Columns
#   id          stable identifier; also the VM name and the last IP octet offset
#   iso_type    minimal | full          BUILD-TIME axis -> selects/creates an ISO
#   poi         2.8 | latest            BUILD-TIME axis -> selects/creates an ISO
#   stig        no | yes                INSTALL-TIME
#   fs          ext4 | btrfs            INSTALL-TIME
#   mode        ui | ks                 INSTALL-TIME (the fifth dimension)
#   ks_variant  -                       ks only: none|selinux|fips|stigpkgs
#   canister    prebuilt | equivalent   BUILD-TIME axis -> selects/creates an ISO.
#               x86_64 default is fips=1 + canister_usage=1, i.e. the kernel links
#               against the PREBUILT linux-fips-canister RPM from the Broadcom repo.
#               'equivalent' links a canister built from the kernel under test.
#               It is two builds: phase A (canister_build=1 on linux only) makes
#               linux-fips-canister-<kernel NEVR>.rpm, then phase B
#               (canister_equivalent=1 + fips_canister_override=<NEVR> on BOTH
#               flavours) relinks and builds the image. Phase A is CONDITIONAL -
#               it runs only when nothing at that NEVR is already published.
#               'build', 'acvp' and 'kat' are accepted by `sharukhan build-iso`
#               but are deliberately NOT rows: 'build' emits a canister that no
#               row installs (linux-esx hardcodes canister_build 0 and is the
#               kernel the ISO boots), and acvp/kat prove something about
#               certification tooling rather than about a PR.
#   net         INSTALL-TIME axis: <family>-<assignment>-<vlan>, all three network
#               dimensions in one column.
#                 family      v4 | v6 | dual
#                 assignment  dhcp | static
#                 vlan        untag | vlanNNN   (NNN in 1..4094)
#               Absent or "-" means v4-dhcp-untag, which is exactly what every
#               row above the n-block has always done - the column documents the
#               status quo rather than changing it. NOT a build-time axis: the
#               network config reaches the guest through guestinfo.kickstart.data
#               and is applied by _setup_network() against an already-installed
#               root, so the five n-rows cost five installs and ZERO ISO builds.
#               An unknown token fails `matrix::load`, naming the row: POI
#               validates only the TOP-LEVEL keys of a kickstart, so a misspelt
#               key inside "network" is silently ignored and yields a guest with
#               no address and no error anywhere. The harness is the only place
#               that typo can ever be caught.
#   doc         the verdict ISO-PERMUTATION-MATRIX.md records (pre-PR)
#   expect      what mission control expects WITH all PRs applied
#
# doc vs expect is the whole point: where they differ, the PRs are doing work,
# and a run that matches doc instead of expect is a PR regression.
#
# On mode=ks + stig=yes: the STIG menu is UI-only (stigenable.py is reached
# only from the curses configurator), so a kickstart cannot "answer yes". The
# ks rows express STIG by listing KS_STIG_PACKAGES manually - which is what
# ks_variant=stigpkgs does. This is a genuinely different code path, not a
# duplicate of the UI row.
#
#id      iso_type  poi     stig  fs     mode  ks_variant  doc        expect  canister    net
p01      minimal   2.8     no    ext4   ui    -           works      pass   prebuilt
p02      minimal   2.8     no    btrfs  ui    -           untested   pass   prebuilt
p03      minimal   2.8     yes   ext4   ui    -           fails      pass   prebuilt
p04      minimal   2.8     yes   btrfs  ui    -           fails      pass   prebuilt
p05      minimal   latest  no    ext4   ui    -           fails      pass   prebuilt
p06      minimal   latest  no    btrfs  ui    -           fails      pass   prebuilt
p07      minimal   latest  yes   ext4   ui    -           fails      pass   prebuilt
p08      minimal   latest  yes   btrfs  ui    -           fails      pass   prebuilt
p09      full      2.8     no    ext4   ui    -           works      pass   prebuilt
p10      full      2.8     no    btrfs  ui    -           untested   pass   prebuilt
p11      full      2.8     yes   ext4   ui    -           works      pass   prebuilt
p12      full      2.8     yes   btrfs  ui    -           untested   pass   prebuilt
p13      full      latest  no    ext4   ui    -           untested   pass   prebuilt
p14      full      latest  no    btrfs  ui    -           untested   pass   prebuilt
p15      full      latest  yes   ext4   ui    -           untested   pass   prebuilt
p16      full      latest  yes   btrfs  ui    -           untested   pass   prebuilt
k01      minimal   2.8     no    ext4   ks    none        works      pass   prebuilt
k02      minimal   2.8     no    btrfs  ks    none        untested   pass   prebuilt
k03      minimal   2.8     yes   ext4   ks    stigpkgs    fails      pass   prebuilt
k04      minimal   2.8     yes   btrfs  ks    stigpkgs    fails      pass   prebuilt
k05      minimal   latest  no    ext4   ks    none        fails      pass   prebuilt
k06      minimal   latest  no    btrfs  ks    none        fails      pass   prebuilt
k07      minimal   latest  yes   ext4   ks    stigpkgs    fails      pass   prebuilt
k08      minimal   latest  yes   btrfs  ks    stigpkgs    fails      pass   prebuilt
k09      full      2.8     no    ext4   ks    none        untested   pass   prebuilt
k10      full      2.8     no    btrfs  ks    none        untested   pass   prebuilt
k11      full      2.8     yes   ext4   ks    stigpkgs    untested   pass   prebuilt
k12      full      2.8     yes   btrfs  ks    stigpkgs    untested   pass   prebuilt
k13      full      latest  no    ext4   ks    none        untested   pass   prebuilt
k14      full      latest  no    btrfs  ks    none        untested   pass   prebuilt
k15      full      latest  yes   ext4   ks    stigpkgs    untested   pass   prebuilt
k16      full      latest  yes   btrfs  ks    stigpkgs    untested   pass   prebuilt
# Kickstart-only failure class (section 11.3). These have NO UI counterpart:
# the security: key is synthesised for everyone on POI latest, but on 2.8 it
# is only present if the kickstart author writes it. fips is never appended on
# the UI path on either version, so s02 is reachable exclusively via kickstart.
s01      minimal   2.8     no    ext4   ks    selinux     fails      pass   prebuilt
s02      minimal   2.8     no    ext4   ks    fips        fails      pass   prebuilt

# Canister axis. c01 was canister=build until 2026-09-02 and never produced a
# verdict, because `build` cannot produce one: canister_build=1 forces
# canister_usage=0, so the kernel that build creates links NO canister, and the
# kernel the ISO actually boots is linux-esx, whose spec hardcodes
# canister_build 0 / canister_usage 1 and therefore ignores the flag entirely.
# A `build` ISO boots the same certified 6.12.60 canister every prebuilt row
# boots - hours spent re-testing k09. It is re-scoped, not replaced, because it
# has no results to invalidate.
#
# canister=equivalent is the row that proves the thing: phase A runs the same
# canister_build=1 creation path `build` did (so no coverage is lost), and phase
# B links the result into BOTH flavours, which is the only way a guest can
# observe it. The proof is guest.canister_based_on, which must read the kernel
# NEVR under test instead of the certified 6.12.60-18.ph5.
#
# One row, not several. The canister is a kernel link-time artefact: iso_type
# and poi change the media and the installer, not the kernel (both variant
# patches set the same linux Release), and every install-time axis is orthogonal
# to it. k09 is the paired control - same full/2.8/ks/none row on prebuilt - so
# any difference in guest.canister_based_on is attributable to this axis alone.
#
# c02 needs aarch64 hardware: fips=0 is the aarch64 default and is not reachable
# on x86_64, so it stays UNRUNNABLE here rather than being quietly dropped.
c01      full      2.8     no    ext4   ks    none        untested   pass    equivalent
c02      full      2.8     no    ext4   ks    none        untested   pass    fips0-aarch64

# ===========================================================================
# Network axis. Five rows, appended - never inserted: identity.rs derives each
# VM's MAC, UUID and IP from the row ORDINAL, so inserting a row anywhere above
# would silently re-address every VM below it.
#
# Every n-row pins all five other axes to k01's values (minimal 2.8 no ext4 ks
# none prebuilt), so the ONLY difference between an n-row and k01 is `net`, and
# k01 is the paired control. All five share k01's iso_key, so the block costs
# no ISO build at all.
#
# poi is deliberately NOT crossed with net:
#   git diff v2.8 master -- photon_installer/networkmanager.py   ->   EMPTY
# The network code is byte-identical across the poi axis, so a poi=latest
# network row would re-test the same file at the price of a second multi-hour
# ISO. mode=ui is not crossed either: netconfig.py offers only DHCP,
# DHCP+hostname, manual static and VLAN, and its validate_ipaddr hard-requires
# four dotted decimal octets - the axis is not expressible from the curses
# configurator at all.
#
