url	candidate_kind	candidate_name	rank	composite_score	popularity	reputation	integration	documentation	ecosystem	cves_12mo	stars	issues_12mo	language	license	last_release	weblink	summary	confidence_score
http://anduin.linuxfromscratch.org/BLFS/othercertdata-nxtgn-openssl.txt	self	othercertdata-nxtgn-openssl	0	48.5	25	85	60	40	30	0				MPL-2.0		http://anduin.linuxfromscratch.org/BLFS/	Certificate data bundle for OpenSSL in BLFS builds, derived from Mozilla NSS certdata.txt	0.9
http://anduin.linuxfromscratch.org/BLFS/othercertdata-nxtgn-openssl.txt	alternative	ca-certificates	1	76.8	70	80	90	85	65	1				MPL-2.0	2024-03	https://packages.debian.org/sid/ca-certificates	Debian/Ubuntu package providing Mozilla-curated CA certificates for system trust store
http://anduin.linuxfromscratch.org/BLFS/othercertdata.txt	self	othercertdata.txt	0	76		90	70	60		0						http://anduin.linuxfromscratch.org/BLFS/	Supplementary root CA certificate data file used by BLFS for building system trust stores.	0.75
http://anduin.linuxfromscratch.org/BLFS/othercertdata.txt	alternative	ca-certificates	1	83.5	85	80	95	85	75	2		120		MPL-2.0	2024-03	https://wiki.mozilla.org/CA/Included_Certificates	Mozilla-curated root CA certificate bundle used by most Linux distributions.
http://cdrkit.orgcdrkit-1.1.11.tar.gz	self	cdrkit	0	37.8	15	70	65	25	10	0		0	C	GPL-2.0	2010-01	http://cdrkit.org	Suite of tools for creating and burning optical discs (CD/DVD/BD) on Linux.	0.2
http://cdrkit.orgcdrkit-1.1.11.tar.gz	alternative	xorriso	1	74.2	55	85	80	90	75	0		12	C	GPL-3.0-or-later	2024-01	https://www.gnu.org/software/xorriso/	ISO 9660 Rock Ridge filesystem and optical disc image manipulation tool.
http://cgit.freedesktop.org/pixman	self	pixman	0	71.5	35	95	85	70	80	0	120	12	C	MIT	2023-01	https://pixman.org	Low-level C library for pixel manipulation, compositing and trapezoid rasterization used by X.Org, Cairo and others.	0.05
http://curl.haxx.se/download/curl-8.1.2.tar.xz	self	curl	0	89.4	95	82	98	92	87	4	32000	180	C	curl	2023-05	https://curl.se/	Command line tool and library for transferring data with URLs, supporting many protocols.	0.25
http://curl.haxx.se/download/curl-8.1.2.tar.xz	alternative	wget	1	79.6	65	92	85	80	78	1	650	45	C	GPL-3.0	2024-01	https://www.gnu.org/software/wget/	Non-interactive network downloader supporting HTTP, HTTPS, FTP and more.
http://curl.haxx.se/download/curl-8.16.0.tar.xz	self	curl	0	92.3	95	85	98	95	90	4	36000	420	C	curl	2024-10	https://curl.se/	Command-line tool and library for transferring data with URLs supporting many protocols.	0.45
http://curl.haxx.se/download/curl-8.16.0.tar.xz	alternative	curl	1	91.7	95	85	98	95	90	4	36000	420	C	curl	2024-10	https://curl.se/	Command-line tool and library for transferring data with URLs supporting many protocols.
http://curl.haxx.se/download/curl-8.16.0.tar.xz	alternative	aria2	2	87.8	92	100	75	70	80	0	34000	210	C++	GPL-2.0	2023-11	https://aria2.github.io/	Lightweight multi-protocol download utility with BitTorrent and Metalink support.
http://curl.haxx.se/download/curl-8.16.0.tar.xz	alternative	wget	3	79.8	65	95	80	85	75	1	620	85	C	GPL-3.0	2024-05	https://www.gnu.org/software/wget/	Non-interactive network downloader supporting HTTP, HTTPS, FTP and recursion.
http://curl.haxx.se/download/curl-8.18.0.tar.xz	self	curl	0	91.4	95	85	98	95	88	4	34000	420	C	curl		https://curl.se/	Command line tool and library for transferring data with URLs	0.65
http://curl.haxx.se/download/curl-8.18.0.tar.xz	alternative	curl	1	91.4	95	85	98	95	88	4	34000	420	C	curl		https://curl.se/	Command line tool and library for transferring data with URLs
http://curl.haxx.se/download/curl-8.18.0.tar.xz	alternative	HTTPie	2	87.1	90	98	65	92	78	0	32000	310	Python	BSD-3-Clause	2024-06	https://httpie.io/	Modern command-line HTTP client
http://curl.haxx.se/download/curl-8.18.0.tar.xz	alternative	wget	3	79.7	72	92	75	70	82	1	4200	85	C	GPL-3.0	2024-05	https://www.gnu.org/software/wget/	Non-interactive network downloader
http://curl.haxx.se/download/curl-8.20.0.tar.xz	self	curl	0	91.4	95	85	98	95	88	4	36000	420	C	curl	2024-09	https://curl.se	Command-line tool and library for transferring data with URLs, supporting HTTP, FTP and dozens of other protocols.	0.25
http://curl.haxx.se/download/curl-8.20.0.tar.xz	alternative	aria2	1	89.1	92	100	78	75	82	0	34000	95	C++	GPL-2.0	2023-11	https://aria2.github.io	Lightweight multi-protocol command-line download utility with torrent and metalink support.
http://curl.haxx.se/download/curl-8.20.0.tar.xz	alternative	httpie	2	88.4	90	90	88	92	80	2	32000	310	Python	BSD-3-Clause	2024-06	https://httpie.io	Modern command-line HTTP client with intuitive syntax and JSON support.
http://curl.haxx.se/download/curl-8.20.0.tar.xz	alternative	wget	3	79.6	62	95	85	80	78	1	680	85	C	GPL-3.0	2024-05	https://www.gnu.org/software/wget/	Non-interactive network downloader supporting HTTP, HTTPS, FTP and mirroring.
