Spec,Source0 original,Modified Source0 for url health check,UrlHealth,UpdateAvailable,UpdateURL,HealthUpdateURL,Name,SHAName,UpdateDownloadName
acl.spec,http://download.savannah.gnu.org/releases/acl/%{name}-%{version}.tar.gz,http://download.savannah.gnu.org/releases/acl/acl-2.2.53.tar.gz,0,Warning: Manufacturer may changed version packaging format.,http://download.savannah.gnu.org/releases/acl/acl-2_3_2.tar.gz,0,acl,%{name},
aide.spec,https://github.com/aide/aide/releases/download/v%{version}/%{name}-%{version}.tar.gz,https://github.com/aide/aide/releases/download/v0.16.2/aide-0.16.2.tar.gz,200,0.18.8,https://github.com/aide/aide/releases/download/v0.18.8/aide-0.18.8.tar.gz,200,aide,%{name},aide-0.18.8.tar.gz
alsa-lib.spec,ftp://ftp.alsa-project.org/pub/lib/%{name}-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.1.9.tar.bz2,200,1.2.13,https://www.alsa-project.org/files/pub/lib/alsa-lib-1.2.13.tar.bz2,200,alsa-lib,%{name},alsa-lib-1.2.13.tar.bz2
alsa-utils.spec,ftp://ftp.alsa-project.org/pub/utils/alsa-utils-%{version}.tar.bz2,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.1.7.tar.bz2,200,1.2.13,https://www.alsa-project.org/files/pub/utils/alsa-utils-1.2.13.tar.bz2,200,alsa-utils,%{name},alsa-utils-1.2.13.tar.bz2
ansible.spec,https://github.com/ansible/%{name}/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible/ansible/archive/refs/tags/v2.11.12.tar.gz,200,2.18.2,https://github.com/ansible/ansible/archive/refs/tags/v2.18.2.tar.gz,200,ansible,%{name},ansible-2.18.2.tar.gz
ansible-community-general.spec,https://github.com/ansible-collections/community.general/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/community.general/archive/refs/tags/5.6.0.tar.gz,200,10.3.0,https://github.com/ansible-collections/community.general/archive/refs/tags/10.3.0.tar.gz,200,ansible-community-general,%{name}-%{version},ansible-community-general-10.3.0.tar.gz
ansible-posix.spec,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/%{name}-%{version}.tar.gz,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/1.4.0.tar.gz,200,2.0.0,https://github.com/ansible-collections/ansible.posix/archive/refs/tags/2.0.0.tar.gz,200,ansible-posix,%{name}-%{version},ansible-posix-2.0.0.tar.gz
ant-contrib.spec,https://packages.vmware.com/photon/photon_sources/1.0/%{name}-%{version}-src.tar.gz,https://packages.vmware.com/photon/photon_sources/1.0/ant-contrib-1.0b3-src.tar.gz,200,Info: Source0 contains a VMware internal url address.,,,ant-contrib,ant-contrib,
apache-ant.spec,https://downloads.apache.org/ant/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/ant/archive/refs/tags/rel/1.10.12.tar.gz,200,1.10.15,https://github.com/apache/ant/archive/refs/tags/rel/1.10.15.tar.gz,200,apache-ant,%{name},apache-ant-1.10.15.tar.gz
apache-maven.spec,http://mirrors.wuchna.com/apachemirror/maven/maven-3/%{version}/source/%{name}-%{version}-src.tar.gz,https://github.com/apache/maven/archive/refs/tags/maven-3.6.3.tar.gz,200,3.9.9,https://github.com/apache/maven/archive/refs/tags/maven-3.9.9.tar.gz,200,apache-maven,%{name},maven-3.9.9.tar.gz
